"Date: 2023-04-01+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"","日记","03月31日 周五 晴 苏黎世","NOTE","","今天是轻松的一天。
上午：早上起晚了，但是还是老实的吃了早饭。到学校才知道Kiven昨晚一直做到凌晨四点，教室里已经有了我们设计的上半部分，上午我的第一个工作就是用热风枪把两部分粘在一起。之后我决定继续打印，又打印了一个质量极高的下半部柱体。之后Ramon过来，我们交谈了很多，同时教他 我们使用的算法。 
午餐：餐盒好吃，吃完休息了一下，醒来发现Kiven已经出现在了我身后。
下午：下午我们小组有简短的讨论，但基本上都在做自己的事，并且准备desk critic。两点多看到Yael和两位老师过来desk critic，我主动要求第二个评，因为能让他们见证到打印的极限。一边评一边打，老师也是很惊讶我们的成果，大多数评价都是表扬和鼓励。我在讲述的时候也特别提到我们的团队合作，每个人 都有相应的贡献——也是间接表彰了Kiven，即为Yael对他的印象正名，又让他本人体会到关怀。结束后我们都很满意也很开心，我主动提出我们一起转一转放松下，之后我们的生产力也并不高。在此期间我完成了个人网站里日记页面的更新，还有移动端的显示、标题显示效果等内容还未完成。
今天的天气极为奇怪，上午还是大晴天，转头边风雨大作，前后不过20分钟，之后又转晴，又转冰雹、大风、阴天。一日四季，不过如此。五点多趁着晴天赶紧回家了。路上去Denner买了一堆食材。
晚餐：回家迅速做饭，做好了西红柿炒蛋、花菜炒肉、蚝油生菜、蛋炒饭，端到自己房间，吃着很开心。
晚上：休息，同时还在洗完澡后在床上用电脑写html。愿 ：明天高效！goodnight！
![image](6427596651f83eaf9374de84/1680300390381.jpg)","N","","","","","0","0","2023-03-31T21:33:39+0000","","-50027779063824","Europe/Zurich","false","false",,,"list","1",""
"","日记","03月30日 周四 晴 苏黎世","NOTE","","今天是倒霉又不倒霉的一天。
上午：到学校发现Kiven想打印他的东西，上午主要就是给他打印了。十点多我开始实验我这边的东西，打下了柱子底层和顶层的形态。
上午同时整理了几何文件发给Kiven。
午餐：餐盒好吃，努力工作到下午一点多才抽空吃午饭。吃完睡了一下。
下午：一醒来就被拉着问问题，同时也在解决自己的事情。两点多去楼上听了一个phD的答辩，并没有听出所以然。之后下楼继续打印。
调整所有参数，柱子正式打印，同时也去HIL听RV的课。今天RV课一半是介绍BRG一半是超瑜的mesh coding教程。BRG的ppt仍然是很有说服力、对我来说最有吸引力的内容。超瑜的教程讲的也很好，同时她也有事没事找我聊天，其中她想我去digital futures帮她忙的意图是很清楚的了。
回来激动的发现柱子已经0.6m多高，打印一切顺利，很好看，而且是所有组里最高的作品。
晚餐：餐盒好吃，回来看到机械臂达到限高限制、停止打印才放下心去吃饭。
晚上：晚上打印的活儿交给Kiven了，我自己在更新日记上传个人网站，完成了九成半。
晚上和Chenming去gym只打球，原以为会是一次很爽的经历，没想到一次他攻我防，他投篮扭了脚。
这不是他第一次扭脚了，和我们打都是第三次扭了，我轻车熟路的去找冰袋和绑带，他直到gym关门才能勉强挪动，这次扭脚似乎比上次严重，从管理员那里借到了拐杖才能离开gym。我从给他拿冰袋，到去门口急救箱拿绑带，一切快速及时，遗憾Chenming扭脚已成习惯的同时赞叹瑞士在急救方面做得十分周到完全。
陪着他拄着拐杖回去，希望他尽快好起来。
回家吃了吐司睡觉。愿 ：明天加油！goodnight！
![image](642611ea51f83eaf9374dd28/1680216553984.jpg)
","N","","","","","0","0","2023-03-30T21:34:11+0000","","-49752901156880","Europe/Zurich","false","false",,,"list","2",""
"","日记","03月29日 周三 晴 苏黎世","NOTE","","今天是愉快做事的一天。
上午：到学校开始修挤出头，Nik和Matthias也在积极帮我们，弄了老半天，拆了装，装了拆才换好。之后又有了挤出材料不透明，材料不粘桌面等问题，一个一个都解决了。
上午因为没好好吃早餐，十点多饿的不行，去coop买了一个可颂。
午餐：和小陈一边视频一边很快的吃完了，猪油渣很下饭。
下午：继续打印，我的一个模型打了3个多小时才不足20cm，打印速度并不快。也偶尔帮一帮其他组的忙。
晚餐：餐盒好吃，味道照旧。
晚上：做设计，做了很多个柱子形态。九点多去健身房练了大臂。回来吃了吐司，洗澡睡觉。愿 ：明天打高点！goodnight！
","N","","","","","0","0","2023-03-29T22:49:27+0000","","-49478023249936","Europe/Zurich","false","false",,,"list","3",""
"","日记","03月28日 周二 晴 苏黎世","NOTE","","今天是轻松上课的一天。
上午：起的不早，到学校听Nik讲了一个多小时的GH和怎么用机械臂——GH讲的是pufferfish，机械臂讲的是我给的文件，我寻思他的能力和启明的能力令人汗颜。不过他们人都很好的。
之后的时间我们就准备器材开始打印，上午没有打出什么实质性东西。
午餐：餐盒好吃，吃完休息了一下。
下午：由于文件是我的，很多人拉我问问题，我得挨个帮忙。
之后我们的挤出头出现了漏液问题，我又跟Nik一直在维修，五点多才修好。
修好上楼吃了点apero的食物，然后准备去买菜。
踩点跑到max food买了一袋大米，然后去denner发现denner其实有同款大米而且更便宜。付款的时候尴尬的跟收银员说这袋大米不是他们家买的。
回家做菜，熬猪油。
晚餐：做了一盒猪油储藏了起来。大葱猪油渣下饭又好吃，猪油炒的青菜味道也很好。吃完还吃了denner买的1Fr一大盒酸奶，配一个圣女果。denner的圣女果6个不到2Fr。
晚上：洗衣服，休息，睡觉。愿 ：明天打印很多很酷的东西！goodnight！
![image](6423705667783eafa55ddcea/1680044117860.jpg)
","N","","","","","0","0","2023-03-28T22:41:44+0000","","-49203145342992","Europe/Zurich","false","false",,,"list","4",""
"","日记","03月27日 周一 晴 苏黎世","NOTE","","今天是化险为夷的一天。
上午：早上起的并不早，到学校的时候Abhipsa已经组装好了原型，我只觉得没啥必要，但是她明显比较在意。一开始没啥特殊的，每个小组展示，当然并非只有我们小组合作不行——好几个小组都是一个组三个方案，大家都心里装着，表面兜着。我们组展示的时候，我只是减少自己的话语，有什么要说的他们说就好。
比较兴奋的是，上午收到了小陈稿件过审的邮件，瞬间一份欣慰。
展示完成后我们组被要求拆散，然而本来自由选组的我们被Abhipsa要求随机分组，我不解原因。
午餐：餐盒好吃。
下午：一开始是Nik的展示，无非就是过往工作，感觉他技术向并不强。
之后是compas的课，这也是Karen第一次跟我说上话。
晚餐：八点才吃，餐盒味道很不错。
晚上：下午主要是手把手教Nik和启明怎么用UR rtd和simple ur code，说起来两位phD的技术项真的薄弱不已。Nik一看就是不懂管理电脑的人，不会用conda，不会用环境；启明甚至没装VSCode。晚上做到很晚，但至少打印出了一个圈。
之后收到分组的消息，即使随机分组，这次也分到了和Ramon, Kiven和Hill一组，证明之前赌一把随机分的策略是对的。
晚上和Chenming打球，启明也加入投了几个。
睡前收到了小陈的两周年视频和信件，很感动。
愿 ：第三周年多见面！goodnight！
![image](642221e651f8872677ede5fc/1679958502464.jpg)
","N","","","","","0","0","2023-03-27T22:53:16+0000","","-48928267436048","Europe/Zurich","false","false",,,"list","5",""
"","日记","03月26日 周日 小雨 苏黎世","NOTE","","今天是高效做作业的一天。
上午：因为夏令时的原因，今天比日常少了一个小时，我也晚起了一个小时。正在懊恼和后悔自己睡过的时候，到学校一看手表上的时间和电脑上的时间不一样，才注意到今天是夏令调时——欧洲的时间就是这么怪，有时候无缘无故多，有时候无缘无故少。但这不影响我高速做事。
上午完成了unity作业，上交完毕。并且开始compas的课程。
午餐：餐盒好吃，豆角炒肉拌饭果然好吃。吃完趴了好一会。
下午：compas一个多小时的课程学完，期间帮小陈改了前言、回复了comaps论坛问题、还完成了随堂测验。
之后继续做的是RV的作业，下午吃晚饭前就完成了。
做了这么多作业，还要继续做日记的上传工作，下午晚上一直在做。
晚餐：餐盒好吃，吃饭的时候感觉用眼过度，但阴天的苏黎世一点绿色和蓝色都没有，也休息不了什么。
晚上：继续上传日记工作，已经全部转化为markdown文本上传到个人网站，html部分还没开始。
之后检查了租房网站，处理了银行账户，看着清单里面的待办事项一个一个清除，心里舒坦很多。回家吃点零食就睡了。愿 ：明天展示不要太尴尬！goodnight！
![image](6420cbfc67788726d4026c3f/1679870972613.jpg)
